"filename", "language", "JavaScript React", "JavaScript", "SCSS", "comment", "blank", "total"
"d:\find-a-service\src\components\RequestCard.jsx", "JavaScript React", -1, 0, 0, 2, 0, 1
"d:\find-a-service\src\components\RequestInfo.jsx", "JavaScript React", -1, 0, 0, 1, 0, 0
"d:\find-a-service\src\css\AddService.scss", "SCSS", 0, 0, 53, 0, 5, 58
"d:\find-a-service\src\css\Admin.scss", "SCSS", 0, 0, 21, 0, 3, 24
"d:\find-a-service\src\css\ManageAccount.scss", "SCSS", 0, 0, 19, 0, 2, 21
"d:\find-a-service\src\css\ManageRequest.scss", "SCSS", 0, 0, 7, 0, 1, 8
"d:\find-a-service\src\css\ManageService.scss", "SCSS", 0, 0, 7, 0, 1, 8
"d:\find-a-service\src\css\RequestDetail.scss", "SCSS", 0, 0, 14, 0, 3, 17
"d:\find-a-service\src\css\RequestInfo.scss", "SCSS", 0, 0, -20, 13, -5, -12
"d:\find-a-service\src\css\ServiceProviderIndex.scss", "SCSS", 0, 0, 1, 0, 0, 1
"d:\find-a-service\src\css\ServiceProviderSignup.scss", "SCSS", 0, 0, 12, 0, 2, 14
"d:\find-a-service\src\pages\AddService.jsx", "JavaScript React", 101, 0, 0, 13, 2, 116
"d:\find-a-service\src\pages\Admin.jsx", "JavaScript React", 135, 0, 0, 10, 5, 150
"d:\find-a-service\src\pages\EditService.jsx", "JavaScript React", 135, 0, 0, 64, 6, 205
"d:\find-a-service\src\pages\LoginPage.jsx", "JavaScript React", 1, 0, 0, 0, 0, 1
"d:\find-a-service\src\pages\ManageAccount.jsx", "JavaScript React", 16, 0, 0, -1, 4, 19
"d:\find-a-service\src\pages\ManageRequest.jsx", "JavaScript React", 3, 0, 0, 0, -1, 2
"d:\find-a-service\src\pages\ManageService.jsx", "JavaScript React", 1, 0, 0, 0, -1, 0
"d:\find-a-service\src\pages\RequestDetail.jsx", "JavaScript React", 4, 0, 0, 0, 0, 4
"d:\find-a-service\src\pages\ServiceProvideSignUp.jsx", "JavaScript React", 67, 0, 0, 7, 1, 75
"d:\find-a-service\src\pages\ServiceProviderIndex.jsx", "JavaScript React", 22, 0, 0, 0, -1, 21
"d:\find-a-service\src\routers\Router.jsx", "JavaScript React", 2, 0, 0, 0, 0, 2
"d:\find-a-service\src\utils\FirebaseAPI.js", "JavaScript", 0, 42, 0, 2, 6, 50
"d:\find-a-service\src\utils\MapboxConfig.js", "JavaScript", 0, 0, 0, 1, 0, 1
"Total", "-", 485, 42, 114, 112, 33, 786
